company_names,cars_names,car_types,engines,fuel_types_cleaned,cc_battery_capacity,horsepower,total_speed,performance_0_100_km/h,seats,torque,cars_prices_cad,cars_prices_usd
MERCEDES,BENZ E-CLASS E 450 ,sedan,V6,gas,2996 cc,362.0,250.0,5.2,5.0,500.0,83700.0,62000.0
MERCEDES,BENZ CLS 450,sedan,V6,gas,2996 cc,362.0,250.0,5.2,5.0,500.0,94500.0,70000.0
MERCEDES,BENZ GT 53,sedan,V6,gas,2996 cc,429.0,250.0,4.5,5.0,700.0,133650.0,99000.0
MERCEDES,BENZ GLE 450,sedan,V6,gas,2996 cc,362.0,250.0,5.5,5.0,500.0,85050.0,63000.0
MERCEDES,BENZ A-CLASS A 45 S,sports,I4,gas,1991 cc,416.0,250.0,3.9,5.0,500.0,71550.0,53000.0
MERCEDES,BENZ C-CLASS C 43,sedan,V6,gas,2996 cc,402.0,250.0,4.7,5.0,520.0,70200.0,52000.0
MERCEDES,BENZ E-CLASS E 350,sedan,I4,gas,1991 cc,255.0,250.0,5.7,5.0,500.0,66150.0,49000.0
MERCEDES,BENZ GLE 350 ,sedan,I4,gas,1991 cc,255.0,250.0,6.1,5.0,500.0,71550.0,53000.0
MERCEDES,BENZ GLC 43,sedan,V6,gas,2996 cc,402.0,250.0,4.7,5.0,520.0,72900.0,54000.0
MERCEDES,BENZ GLA 45,sedan,I4,gas,1991 cc,382.0,250.0,4.3,5.0,500.0,64800.0,48000.0
MERCEDES,BENZ GLC 350 ,sedan,I4,gas,1991 cc,255.0,250.0,6.1,5.0,500.0,62100.0,46000.0
MERCEDES,BENZ GLE 53,sedan,V6,gas,2996 cc,429.0,250.0,5.2,5.0,620.0,95850.0,71000.0
MERCEDES,BENZ S-CLASS S 350,sedan,I4,gas,1991 cc,255.0,250.0,6.5,5.0,500.0,121500.0,90000.0
MERCEDES,BENZ EQS 53,sports,ELECTRIC MOTOR,electric,nan,751.0,250.0,3.4,5.0,950.0,137700.0,102000.0
MERCEDES,BENZ MAYBACH S 680,sedan,V12,gas,5980 cc,630.0,250.0,4.7,5.0,1000.0,270000.0,200000.0
BMW,M5 CS,sports,V8,gas,4395 cc,627.0,305.0,3.0,5.0,750.0,191700.0,142000.0
BMW,M4 GTS,sports,I6,gas,2993 cc,493.0,305.0,3.7,4.0,600.0,179550.0,133000.0
BMW,M3 COMPETITION,sports,I6,gas,2993 cc,503.0,285.0,3.5,5.0,650.0,102600.0,76000.0
BMW,M2 CS,sports,I6,gas,2993 cc,444.0,280.0,4.0,4.0,550.0,112050.0,83000.0
BMW,X5 M COMPETITION,sedan,V8,gas,4935 cc,523.0,285.0,4.1,5.0,750.0,153900.0,114000.0
BMW,X3 M COMPETITION,sedan,I6,gas,2993 cc,503.0,285.0,4.1,5.0,650.0,93150.0,69000.0
